SampleNumber,BioYear,pack,hr_type,Prey,mean_read_count,total_reads_sample,prop_reads_sample
187,2015,NA,NA,Odocoileus hemionus,93943.33333,93943.33333,1
188,2015,NA,NA,Oncorhynchus sp.,1910.333333,3384.333333,0.564463705
188,2015,NA,NA,Odocoileus hemionus,1474,3384.333333,0.435536295
189,2015,NA,NA,Odocoileus hemionus,6846,11260.33333,0.607974897
189,2015,NA,NA,Oncorhynchus sp.,4414.333333,11260.33333,0.392025103
216,2015,Trocadero,annual,Odocoileus hemionus,2523.333333,2523.333333,1
217,2015,Trocadero,annual,Odocoileus hemionus,77060.66667,77060.66667,1
218,2015,Staney,annual,Odocoileus hemionus,47764.33333,47764.33333,1
219,2015,Staney,annual,Odocoileus hemionus,44076.66667,44076.66667,1
220,2015,Trocadero,annual,Castor canadensis,8325,14229.5,0.58505218
220,2015,Trocadero,annual,Gallus gallus,5904.5,14229.5,0.41494782
221,2015,Trocadero,annual,Castor canadensis,7291,7291,1
224,2015,Staney,annual,Odocoileus hemionus,124497.6667,124497.6667,1
225,2015,Honker,annual,Odocoileus hemionus,60156,62013,0.970054666
225,2015,Honker,annual,Microtus sp.,1857,62013,0.029945334
226,2015,Honker,annual,Odocoileus hemionus,6992.666667,6992.666667,1
227,2015,NA,NA,Odocoileus hemionus,81466.33333,81466.33333,1
228,2015,Staney,annual,Odocoileus hemionus,106816,106816,1
229,2015,Trocadero,annual,Odocoileus hemionus,63071.33333,63071.33333,1
242,2015,Staney,annual,Odocoileus hemionus,18147.66667,25144.33333,0.721739822
242,2015,Staney,annual,Castor canadensis,6996.666667,25144.33333,0.278260178
243,2015,Honker,annual,Odocoileus hemionus,69282.33333,69282.33333,1
244,2015,Honker,annual,Odocoileus hemionus,109184,109184,1
245,2015,Honker,annual,Odocoileus hemionus,62730.66667,62730.66667,1
246,2015,Snow Pass,annual,Odocoileus hemionus,55204,55204,1
250,2015,Trocadero,annual,Chen caerulescens caerulescens,26887,48304.66667,0.556612888
250,2015,Trocadero,annual,Odocoileus hemionus,21417.66667,48304.66667,0.443387112
251,2015,Sandy Beach,annual,Odocoileus hemionus,24593,24593,1
252,2015,Honker,annual,Castor canadensis,1628,1628,1
306,2016,Sandy Beach,den,Odocoileus hemionus,66071.33333,71569.66667,0.923175088
306,2016,Sandy Beach,den,Castor canadensis,5498.333333,71569.66667,0.076824912
